word,value,condition,variable,model
notion,4.5,20,aoa,35
crisis,6.5,20,aoa,35
trousers,3.5,20,aoa,35
cure,5,20,aoa,35
wood,2.5,20,aoa,35
figment,6,20,aoa,35
mammal,3,20,aoa,35
rattle,2,20,aoa,35
trumpet,4,20,aoa,35
belief,5.5,20,aoa,35
python,6.5,20,aoa,35
jungle,4.5,20,aoa,35
wallet,3,20,aoa,35
ham,2,20,aoa,35
mood,4,20,aoa,35
terror,6.5,20,aoa,35
tortoise,3.5,20,aoa,35
pupil,4,20,aoa,35
bead,3,20,aoa,35
column,4,20,aoa,35
greed,5.5,20,aoa,35
husband,5,20,aoa,35
surgeon,5.5,20,aoa,35
boast,4.5,20,aoa,35
slum,5,20,aoa,35
midst,4.5,20,aoa,35
leisure,5.5,20,aoa,35
sister,3.5,20,aoa,35
necklace,4,20,aoa,35
sword,4,20,aoa,35
blood,4.5,20,aoa,35
pamphlet,5,20,aoa,35
applause,5,20,aoa,35
culture,4.5,20,aoa,35
string,3.5,20,aoa,35
fortress,4.5,20,aoa,35
moth,3,20,aoa,35
feat,4,20,aoa,35
guilt,5,20,aoa,35
context,4.5,20,aoa,35
knock,3.5,20,aoa,35
people,4,20,aoa,35
spring,4,20,aoa,35
virtue,5,20,aoa,35
contempt,5.5,20,aoa,35
apple,3,20,aoa,35
bulge,4,20,aoa,35
chew,3,20,aoa,35
device,4,20,aoa,35
castle,4.5,20,aoa,35
beggar,4,20,aoa,35
town,3.5,20,aoa,35
complex,5,20,aoa,35
pride,4.5,20,aoa,35
ordeal,5,20,aoa,35
reason,4.5,20,aoa,35
bandage,4,20,aoa,35
dandruff,4,20,aoa,35
game,3.5,20,aoa,35
heaven,4.5,20,aoa,35
handle,4,20,aoa,35
whimper,4.5,20,aoa,35
caress,4,20,aoa,35
battle,4.5,20,aoa,35
doom,5,20,aoa,35
cuddle,4,20,aoa,35
arson,6,20,aoa,35
usher,5,20,aoa,35
passage,4.5,20,aoa,35
mural,4,20,aoa,35
whore,6.5,20,aoa,35
lust,6,20,aoa,35
pleasure,5.5,20,aoa,35
romance,5,20,aoa,35
crude,5,20,aoa,35
carcass,5.5,20,aoa,35
saloon,5,20,aoa,35
slope,4,20,aoa,35
respect,5.5,20,aoa,35
suburb,4,20,aoa,35
dance,4.5,20,aoa,35
monkey,3.5,20,aoa,35
victim,5,20,aoa,35
typhoon,6.5,20,aoa,35
hope,3,20,aoa,35
carpet,4,20,aoa,35
table,3.5,20,aoa,35
luggage,4.5,20,aoa,35
scalpel,6,20,aoa,35
recall,4,20,aoa,35
class,3,20,aoa,35
toast,3.5,20,aoa,35
model,4,20,aoa,35
crystal,4.5,20,aoa,35
candle,3.5,20,aoa,35
mischief,4.5,20,aoa,35
phase,4,20,aoa,35
spinach,4.5,20,aoa,35
throat,4,20,aoa,35
duty,4,20,aoa,35
wrath,5.5,20,aoa,35
urge,4,20,aoa,35
cricket,4.5,20,aoa,35
balloon,3.5,20,aoa,35
punch,4,20,aoa,35
compass,4.5,20,aoa,35
gloom,4,20,aoa,35
console,4.5,20,aoa,35
blister,4.5,20,aoa,35
glee,3.5,20,aoa,35
desert,4.5,20,aoa,35
courage,4,20,aoa,35
vowel,3.5,20,aoa,35
candy,3,20,aoa,35
doctor,4,20,aoa,35
monarch,4.5,20,aoa,35
lumber,4,20,aoa,35
plasma,5,20,aoa,35
anchor,4.5,20,aoa,35
hostess,4,20,aoa,35
fire,4,20,aoa,35
neglect,5,20,aoa,35
doubt,4,20,aoa,35
ant,3,20,aoa,35
zebra,4,20,aoa,35
wish,3.5,20,aoa,35
mirror,4,20,aoa,35
consent,4,20,aoa,35
cloak,4,20,aoa,35
verge,4,20,aoa,35
puzzle,4,20,aoa,35
lunch,3.5,20,aoa,35
stretch,4,20,aoa,35
limit,4,20,aoa,35
merchant,4,20,aoa,35
trend,4,20,aoa,35
texture,4,20,aoa,35
sin,4,20,aoa,35
gist,4,20,aoa,35
vulture,4.5,20,aoa,35
fleet,4,20,aoa,35
smell,4,20,aoa,35
child,3,20,aoa,35
stride,4,20,aoa,35
nuisance,4.5,20,aoa,35
asthma,4.5,20,aoa,35
prison,4.5,20,aoa,35
shirt,3.5,20,aoa,35
junk,4,20,aoa,35
cushion,4,20,aoa,35
attempt,4,20,aoa,35
bitch,4,20,aoa,35
launch,4,20,aoa,35
grind,4,20,aoa,35
clergy,4,20,aoa,35
nurture,4,20,aoa,35
hurdle,4.5,20,aoa,35
doctrine,5.5,20,aoa,35
cattle,3.5,20,aoa,35
person,1.5,20,aoa,35
excuse,2.5,20,aoa,35
transit,4,20,aoa,35
squeeze,3,20,aoa,35
concept,2,20,aoa,35
message,2,20,aoa,35
role,2.5,20,aoa,35
needle,3,20,aoa,35
cease,3.5,20,aoa,35
island,2,20,aoa,35
nectar,3,20,aoa,35
mate,3,20,aoa,35
portrait,4,20,aoa,35
palace,4.5,20,aoa,35
function,3,20,aoa,35
slave,3.5,20,aoa,35
flourish,4,20,aoa,35
flea,2.5,20,aoa,35
camp,2.5,20,aoa,35
melon,3,20,aoa,35
crab,3,20,aoa,35
signal,2.5,20,aoa,35
fiction,3,20,aoa,35
blame,3,20,aoa,35
hate,3,20,aoa,35
stab,3.5,20,aoa,35
justice,3,20,aoa,35
knowledge,4,20,aoa,35
bowel,4,20,aoa,35
blouse,3.5,20,aoa,35
bracket,4,20,aoa,35
venom,4,20,aoa,35
donkey,3,20,aoa,35
fame,3,20,aoa,35
sweater,4,20,aoa,35
marvel,3.5,20,aoa,35
plea,3,20,aoa,35
menace,4,20,aoa,35
curtain,3.5,20,aoa,35
traffic,3.5,20,aoa,35
impress,3.5,20,aoa,35
status,3.5,20,aoa,35
monster,3.5,20,aoa,35
freedom,3.5,20,aoa,35
costume,3.5,20,aoa,35
breakfast,2.5,20,aoa,35
lace,3,20,aoa,35
morsel,3,20,aoa,35
neutral,3,20,aoa,35
cottage,3,20,aoa,35
trust,3,20,aoa,35
progress,3.5,20,aoa,35
sleep,2.5,20,aoa,35
walnut,3,20,aoa,35
squash,3,20,aoa,35
dessert,3,20,aoa,35
coffin,3.5,20,aoa,35
lobster,3.5,20,aoa,35
pause,3,20,aoa,35
forge,3.5,20,aoa,35
police,3,20,aoa,35
pheasant,3.5,20,aoa,35
princess,3.5,20,aoa,35
caution,3,20,aoa,35
soldier,3,20,aoa,35
piece,2.5,20,aoa,35
hostage,3.5,20,aoa,35
rubble,3.5,20,aoa,35
honey,2.5,20,aoa,35
yeast,3,20,aoa,35
essence,3,20,aoa,35
success,3,20,aoa,35
contract,3,20,aoa,35
bondage,3.5,20,aoa,35
glacier,4,20,aoa,35
toilet,4.5,20,aoa,35
kill,5.5,20,aoa,35
parade,4,20,aoa,35
script,5.5,20,aoa,35
couch,3.5,20,aoa,35
talent,5,20,aoa,35
cough,4.5,20,aoa,35
date,4,20,aoa,35
guitar,5,20,aoa,35
pelvis,6.5,20,aoa,35
dread,5.5,20,aoa,35
faith,4,20,aoa,35
affair,5.5,20,aoa,35
harvest,4.5,20,aoa,35
picture,3.5,20,aoa,35
circuit,5,20,aoa,35
spirit,4.5,20,aoa,35
ruffle,4,20,aoa,35
prestige,5.5,20,aoa,35
issue,4,20,aoa,35
fuss,4,20,aoa,35
moisture,5,20,aoa,35
pest,4,20,aoa,35
pity,4,20,aoa,35
cancer,6.5,20,aoa,35
breast,5.5,20,aoa,35
aisle,4,20,aoa,35
trouble,4.5,20,aoa,35
sandwich,4,20,aoa,35
despair,5,20,aoa,35
basket,3.5,20,aoa,35
mug,3.5,20,aoa,35
ease,4,20,aoa,35
whisper,4.5,20,aoa,35
panther,5,20,aoa,35
taboo,5,20,aoa,35
service,4,20,aoa,35
troll,4.5,20,aoa,35
health,4,20,aoa,35
escort,4.5,20,aoa,35
carriage,4,20,aoa,35
leaf,3.5,20,aoa,35
hall,4,20,aoa,35
giraffe,4.5,20,aoa,35
waitress,4,20,aoa,35
settle,4,20,aoa,35
farewell,4.5,20,aoa,35
canoe,4,20,aoa,35
dare,4,20,aoa,35
strand,4,20,aoa,35
head,3.5,20,aoa,35
sparkle,4,20,aoa,35
passion,4,20,aoa,35
jewel,4,20,aoa,35
sentence,4,20,aoa,35
smear,4,20,aoa,35
snail,4,20,aoa,35
ladder,4,20,aoa,35
parrot,4,20,aoa,35
moment,4,20,aoa,35
method,4,20,aoa,35
forehead,4,20,aoa,35
reject,4,20,aoa,35
author,4,20,aoa,35
chest,4,20,aoa,35
packet,4,20,aoa,35
anger,4,20,aoa,35
ceiling,4,20,aoa,35
shrug,4,20,aoa,35
chord,4,20,aoa,35
toxin,4,20,aoa,35
cotton,4,20,aoa,35
mistress,4,20,aoa,35
comb,4,20,aoa,35
bliss,4,20,aoa,35
bounce,4,20,aoa,35
employ,4,20,aoa,35
button,4,20,aoa,35
art,4.5,20,aoa,35
chauffeur,6.5,20,aoa,35
line,3.5,20,aoa,35
pint,5.5,20,aoa,35
pension,6,20,aoa,35
office,4,20,aoa,35
risk,5,20,aoa,35
picket,5.5,20,aoa,35
goose,3,20,aoa,35
mansion,6.5,20,aoa,35
food,2.5,20,aoa,35
shame,4,20,aoa,35
mother,2,20,aoa,35
prince,4.5,20,aoa,35
power,4.5,20,aoa,35
version,5,20,aoa,35
outrage,5.5,20,aoa,35
wit,4,20,aoa,35
project,5,20,aoa,35
gain,4.5,20,aoa,35
phantom,5.5,20,aoa,35
leopard,4,20,aoa,35
incest,6.5,20,aoa,35
luck,3.5,20,aoa,35
dinner,3,20,aoa,35
sorrow,4,20,aoa,35
tumble,4.5,20,aoa,35
hand,2.5,20,aoa,35
myth,4,20,aoa,35
stock,4,20,aoa,35
hit,3,20,aoa,35
lettuce,3.5,20,aoa,35
malice,5,20,aoa,35
snort,4.5,20,aoa,35
shaft,4,20,aoa,35
baby,2,20,aoa,35
garbage,3.5,20,aoa,35
ulcer,5,20,aoa,35
disgust,5,20,aoa,35
report,4,20,aoa,35
fraud,5,20,aoa,35
bowl,3.5,20,aoa,35
delight,4,20,aoa,35
tulip,4,20,aoa,35
reptile,4.5,20,aoa,35
city,3,20,aoa,35
bonnet,4,20,aoa,35
seed,3,20,aoa,35
treasure,4.5,20,aoa,35
clover,3.5,20,aoa,35
jacket,4,20,aoa,35
apron,3.5,20,aoa,35
walrus,4,20,aoa,35
treason,5.5,20,aoa,35
methane,5,20,aoa,35
spit,4,20,aoa,35
shark,4,20,aoa,35
rain,3,20,aoa,35
stomach,4,20,aoa,35
stove,4,20,aoa,35
triumph,4.5,20,aoa,35
county,3.5,20,aoa,35
product,4,20,aoa,35
aspect,4,20,aoa,35
closure,4,20,aoa,35
ban,4,20,aoa,35
beer,3,20,aoa,35
pumpkin,3.5,20,aoa,35
wrestle,4.5,20,aoa,35
item,3,20,aoa,35
resort,4,20,aoa,35
tiger,4,20,aoa,35
fault,4,20,aoa,35
wisdom,4,20,aoa,35
hammock,4,20,aoa,35
artist,4,20,aoa,35
metal,4,20,aoa,35
pillow,4,20,aoa,35
notion,5.5,20,aoa,4
crisis,5,20,aoa,4
trousers,2.5,20,aoa,4
cure,4,20,aoa,4
wood,3,20,aoa,4
figment,6,20,aoa,4
mammal,4.5,20,aoa,4
rattle,2,20,aoa,4
trumpet,3.5,20,aoa,4
belief,4.5,20,aoa,4
python,5,20,aoa,4
jungle,4,20,aoa,4
wallet,3.5,20,aoa,4
ham,2.5,20,aoa,4
mood,4,20,aoa,4
terror,5,20,aoa,4
tortoise,3.5,20,aoa,4
pupil,4,20,aoa,4
bead,2.5,20,aoa,4
column,5,20,aoa,4
greed,5.5,20,aoa,4
husband,4,20,aoa,4
surgeon,5.5,20,aoa,4
boast,5,20,aoa,4
slum,5.5,20,aoa,4
midst,5.5,20,aoa,4
leisure,5,20,aoa,4
sister,2,20,aoa,4
necklace,3,20,aoa,4
sword,3.5,20,aoa,4
blood,3.5,20,aoa,4
